Date,Open,High,Low,Close,Adj Close,Volume
2020-08-10,136.32000732421875,136.8800048828125,135.3800048828125,135.97999572753906,128.50390625,3052000
2020-08-11,136.97000122070312,137.4499969482422,134.6199951171875,135.1199951171875,127.69117736816406,3301200
2020-08-12,135.33999633789062,138.67999267578125,135.25,137.8000030517578,130.22381591796875,4424600
2020-08-13,137.10000610351562,138.61000061035156,137.10000610351562,138.10000610351562,130.50733947753906,2393500
2020-08-14,138.11000061035156,138.1699981689453,137.1999969482422,137.55999755859375,129.9969940185547,2461700
2020-08-17,137.5,138.88999938964844,137.0500030517578,137.9199981689453,130.3372039794922,2862500
2020-08-18,138.61000061035156,138.61000061035156,137.0399932861328,138.11000061035156,130.5167694091797,2638600
2020-08-19,138.69000244140625,138.7899932861328,136.10000610351562,136.4499969482422,128.9480438232422,3682200
2020-08-20,135.66000366210938,137.14999389648438,135.6300048828125,136.72000122070312,129.20321655273438,2263000
2020-08-21,136.3699951171875,136.66000366210938,135.25,136.4600067138672,128.95751953125,4295600
2020-08-24,136.4600067138672,137.67999267578125,136.11000061035156,137.63999938964844,130.0726318359375,3177800
2020-08-25,138.25999450683594,138.3800048828125,136.6999969482422,137.3000030517578,129.75132751464844,2597400
2020-08-26,136.5800018310547,138.66000366210938,136.3800048828125,138.47000122070312,130.85696411132812,6019700
2020-08-27,138.7100067138672,139.92999267578125,137.91000366210938,138.39999389648438,130.7908172607422,4159300
2020-08-28,138.52000427246094,139.9600067138672,137.24000549316406,139.94000244140625,132.2461700439453,3355400
2020-08-31,139.32000732421875,141.02000427246094,139.0,140.05999755859375,132.3595733642578,3828700
2020-09-01,140.25,140.47999572753906,138.50999450683594,139.19000244140625,131.53741455078125,3421700
2020-09-02,139.52000427246094,143.82000732421875,139.35000610351562,143.2899932861328,135.41197204589844,4918200
2020-09-03,142.77000427246094,144.0399932861328,138.1199951171875,139.3699951171875,132.65457153320312,6642400
2020-09-04,139.66000366210938,140.30999755859375,136.94000244140625,138.75999450683594,132.07395935058594,4836400
2020-09-08,138.30999755859375,138.6300048828125,134.41000366210938,135.5500030517578,129.0186309814453,4901500
2020-09-09,135.5,138.4600067138672,135.39999389648438,137.11000061035156,130.5034637451172,4282300
2020-09-10,136.60000610351562,137.5500030517578,133.8800048828125,134.75999450683594,128.2666778564453,6050500
2020-09-11,135.22000122070312,136.3800048828125,134.22999572753906,135.80999755859375,129.26611328125,3411900
2020-09-14,136.52999877929688,137.5,135.8000030517578,136.6699981689453,130.08465576171875,2779000
2020-09-15,136.47999572753906,137.24000549316406,135.41000366210938,135.6199951171875,129.0852508544922,4080800
2020-09-16,136.27999877929688,136.60000610351562,134.77999877929688,134.97999572753906,128.47610473632812,3353500
2020-09-17,133.38999938964844,134.5500030517578,131.69000244140625,133.1999969482422,126.78187561035156,5186400
2020-09-18,133.7100067138672,134.7899932861328,130.00999450683594,131.47000122070312,125.1352310180664,8473000
2020-09-21,130.3699951171875,131.30999755859375,129.36000061035156,131.24000549316406,124.91631317138672,4402700
2020-09-22,131.0,132.88999938964844,130.4499969482422,132.14999389648438,125.78245544433594,3951000
2020-09-23,132.6999969482422,132.82000732421875,129.85000610351562,131.0,124.68787384033203,5909900
2020-09-24,131.44000244140625,132.30999755859375,129.9199981689453,131.5800018310547,125.23992156982422,4316600
2020-09-25,130.88999938964844,133.8300018310547,130.50999450683594,133.5500030517578,127.11499786376953,4576000
2020-09-28,136.0399932861328,138.5800018310547,135.6699981689453,137.97000122070312,131.322021484375,7487500
2020-09-29,138.66000366210938,139.5399932861328,137.1300048828125,137.16000366210938,130.55105590820312,4330500
2020-09-30,137.99000549316406,139.19000244140625,136.89999389648438,138.60000610351562,131.9216766357422,7060700
2020-10-01,139.44000244140625,140.85000610351562,137.49000549316406,140.8000030517578,134.0156707763672,6483900
2020-10-02,139.27999877929688,139.91000366210938,136.1999969482422,138.05999755859375,131.40768432617188,5130200
2020-10-05,138.11000061035156,138.3800048828125,136.97999572753906,137.92999267578125,131.28396606445312,4519800
2020-10-06,138.0,138.82000732421875,135.14999389648438,135.6999969482422,129.16139221191406,5031000
2020-10-07,135.94000244140625,137.52000427246094,135.75999450683594,137.00999450683594,130.4082794189453,4347300
